City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Monrovia,LR,80.6,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
616,Todos Santos,MX,73.99,clear sky,23.45,-110.22,Hotel California Todos Santos
619,Tanete,ID,72.79,clear sky,-3.94,119.78,Wisma Tri Multi
624,Miles City,US,84.2,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
629,Nago,JP,82.4,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
631,Codajas,BR,89.6,scattered clouds,-3.84,-62.06,Hotel Tamires
633,Pedernales,DO,89.6,few clouds,18.04,-71.74,Hotel Costa Marina
635,Natal,BR,80.6,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
636,Misratah,LY,79.59,clear sky,32.38,15.09,فندق الماسة
639,Osoyoos,CA,77.0,few clouds,49.03,-119.45,Watermark Beach Resort Hotel
641,Kitakata,JP,75.0,overcast clouds,37.65,139.87,いろり古民家の宿 志ぐれ亭
643,Amahai,ID,75.72,broken clouds,-3.33,128.92,Hotel isabella
644,La Ronge,CA,78.8,clear sky,55.1,-105.28,Northland Motor Hotel
646,Alenquer,BR,89.6,few clouds,-1.94,-54.74,Detinha Hotel
649,Elliot Lake,CA,73.4,clear sky,46.38,-82.63,Frontier Lodge
650,Valleyview,CA,71.98,clear sky,55.07,-117.29,Paradise Inn & Suites
654,Colorines,MX,75.99,scattered clouds,19.2,-100.17,La Capilla Hotel Boutique
655,Fort Morgan,US,77.0,clear sky,40.25,-103.8,Hampton Inn Fort Morgan
659,Liverpool,GB,75.0,scattered clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
662,Santa Maria,BR,82.4,clear sky,-29.68,-53.81,Hotel Morotin
663,Meulaboh,ID,78.24,broken clouds,4.14,96.13,Kost Pria
665,Parrita,CR,77.0,broken clouds,9.52,-84.32,Beso del Viento
666,Ko Samui,TH,84.15,overcast clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
667,Guozhen,CN,77.38,moderate rain,34.37,107.36,Yucai Hotel
669,Birjand,IR,84.2,few clouds,32.87,59.22,Birjand Tourist Hotel
671,Cookeville,US,82.99,scattered clouds,36.16,-85.5,La Quinta Inn & Suites by Wyndham Cookeville
672,Kashi,CN,82.4,scattered clouds,39.45,75.98,帕米尔青年旅舍
673,Sale,MA,78.8,scattered clouds,34.04,-6.82,Hôtel Mercure Rabat Sheherazade
674,Biltine,TD,79.03,moderate rain,14.53,20.92,Hôtel Trois Étoiles de Biltine
675,Port Blair,IN,81.86,moderate rain,11.67,92.75,Fortune Resort Bay Island
676,Antigua Ocotepeque,HN,77.43,light rain,14.4,-89.2,Turicentro Sandoval
677,Mitsamiouli,KM,77.0,few clouds,-11.38,43.28,Foyer ADM
678,Bonthe,SL,78.17,broken clouds,7.53,-12.51,Bonthe Holiday Village
679,Kralendijk,BQ,89.6,broken clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
681,Manta,EC,75.2,broken clouds,-0.95,-80.73,Balandra Hotel
